"Survived","Pclass","Sex","Age","Fare","hombres","mujeres","Clase_Alta","Clase_Media","Clase_Baja"
0,3,"male",22,-0.508338479412786,TRUE,FALSE,FALSE,FALSE,TRUE
1,1,"female",38,0.783437952192122,FALSE,TRUE,TRUE,FALSE,FALSE
1,3,"female",26,-0.494721360018137,FALSE,TRUE,FALSE,FALSE,TRUE
1,1,"female",35,0.416616963912563,FALSE,TRUE,TRUE,FALSE,FALSE
0,3,"male",35,-0.492199671241351,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"male",40,-0.483962827020855,TRUE,FALSE,FALSE,FALSE,TRUE
0,1,"male",54,0.391652245022375,TRUE,FALSE,TRUE,FALSE,FALSE
0,3,"male",2,-0.229439700700181,TRUE,FALSE,FALSE,FALSE,TRUE
1,3,"female",27,-0.42999868719762,FALSE,TRUE,FALSE,FALSE,TRUE
1,2,"female",14,-0.0479628375144409,FALSE,TRUE,FALSE,TRUE,FALSE
1,3,"female",4,-0.317698807887714,FALSE,TRUE,FALSE,FALSE,TRUE
1,1,"female",58,-0.118989732276925,FALSE,TRUE,TRUE,FALSE,FALSE
0,3,"male",20,-0.492199671241351,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"male",39,-0.0236698965143888,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"female",14,-0.496149644541309,FALSE,TRUE,FALSE,FALSE,TRUE
1,2,"female",55,-0.331820265037719,FALSE,TRUE,FALSE,TRUE,FALSE
0,3,"male",2,-0.0670429434751194,TRUE,FALSE,FALSE,FALSE,TRUE
1,2,"male",20,-0.392340795680599,TRUE,FALSE,FALSE,TRUE,FALSE
0,3,"female",31,-0.291473244609132,FALSE,TRUE,FALSE,FALSE,TRUE
1,3,"female",22,-0.508842817168143,FALSE,TRUE,FALSE,FALSE,TRUE
0,2,"male",35,-0.130085162894786,TRUE,FALSE,FALSE,TRUE,FALSE
1,2,"male",34,-0.392340795680599,TRUE,FALSE,FALSE,TRUE,FALSE
1,3,"female",15,-0.492619280253808,FALSE,TRUE,FALSE,FALSE,TRUE
1,1,"male",28,0.0615631841410004,TRUE,FALSE,TRUE,FALSE,FALSE
0,3,"female",8,-0.229439700700181,FALSE,TRUE,FALSE,FALSE,TRUE
1,3,"female",38,-0.0214003766152808,FALSE,TRUE,FALSE,FALSE,TRUE
0,3,"male",25,-0.508842817168143,TRUE,FALSE,FALSE,FALSE,TRUE
0,1,"male",19,4.65103675789273,TRUE,FALSE,TRUE,FALSE,FALSE
1,3,"female",9,-0.495645306785952,FALSE,TRUE,FALSE,FALSE,TRUE
0,3,"male",41,-0.495310426516395,TRUE,FALSE,FALSE,FALSE,TRUE
0,1,"male",40,-0.0953705865180301,TRUE,FALSE,TRUE,FALSE,FALSE
1,1,"female",37,2.30124242694001,FALSE,TRUE,TRUE,FALSE,FALSE
1,3,"female",42,-0.498251724305639,FALSE,TRUE,FALSE,FALSE,TRUE
0,2,"male",66,-0.442774571216332,TRUE,FALSE,FALSE,TRUE,FALSE
0,1,"male",28,1.00307704465024,TRUE,FALSE,TRUE,FALSE,FALSE
0,1,"male",42,0.39442610267684,TRUE,FALSE,TRUE,FALSE,FALSE
1,3,"male",24,-0.508758088425243,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"male",21,-0.492199671241351,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"female",18,-0.291473244609132,FALSE,TRUE,FALSE,FALSE,TRUE
1,3,"female",14,-0.427811878690391,FALSE,TRUE,FALSE,FALSE,TRUE
0,3,"female",40,-0.463452419185983,FALSE,TRUE,FALSE,FALSE,TRUE
0,2,"female",27,-0.230952713966253,FALSE,TRUE,FALSE,TRUE,FALSE
0,3,"male",17,-0.495310426516395,TRUE,FALSE,FALSE,FALSE,TRUE
1,2,"female",3,0.184201987435732,FALSE,TRUE,FALSE,TRUE,FALSE
1,3,"female",19,-0.495645306785952,FALSE,TRUE,FALSE,FALSE,TRUE
0,3,"male",35,-0.492199671241351,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"male",24,-0.341907020144866,TRUE,FALSE,FALSE,FALSE,TRUE
1,3,"female",1,-0.498251724305639,FALSE,TRUE,FALSE,FALSE,TRUE
0,3,"male",32,-0.217250865828705,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"female",18,-0.295507946651991,FALSE,TRUE,FALSE,FALSE,TRUE
0,3,"male",7,0.146039758163354,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"male",21,-0.497243048794924,TRUE,FALSE,FALSE,FALSE,TRUE
1,1,"female",49,0.893300871468142,FALSE,TRUE,TRUE,FALSE,FALSE
1,2,"female",29,-0.130085162894786,FALSE,TRUE,FALSE,TRUE,FALSE
0,1,"male",65,0.595741595807316,TRUE,FALSE,TRUE,FALSE,FALSE
1,1,"male",62,0.0615631841410004,TRUE,FALSE,TRUE,FALSE,FALSE
1,2,"female",21,-0.442774571216332,FALSE,TRUE,FALSE,TRUE,FALSE
0,3,"male",28.5,-0.508758088425243,TRUE,FALSE,FALSE,FALSE,TRUE
1,2,"female",5,-0.0947815200197727,FALSE,TRUE,FALSE,TRUE,FALSE
0,3,"male",11,0.291541200583944,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"male",22,-0.508758088425243,TRUE,FALSE,FALSE,FALSE,TRUE
1,1,"female",38,0.959284388677053,FALSE,TRUE,TRUE,FALSE,FALSE
0,1,"male",45,1.02938733667172,TRUE,FALSE,TRUE,FALSE,FALSE
0,3,"male",4,-0.0917554934876288,TRUE,FALSE,FALSE,FALSE,TRUE
0,1,"male",40,-0.0953705865180301,TRUE,FALSE,TRUE,FALSE,FALSE
1,3,"male",31,-0.347035126441339,TRUE,FALSE,FALSE,FALSE,TRUE
1,2,"female",29,-0.442774571216332,FALSE,TRUE,FALSE,TRUE,FALSE
0,3,"male",19,-0.490014880085143,TRUE,FALSE,FALSE,FALSE,TRUE
1,3,"female",17,-0.494721360018137,FALSE,TRUE,FALSE,FALSE,TRUE
0,3,"male",26,-0.479843396235096,TRUE,FALSE,FALSE,FALSE,TRUE
0,2,"male",32,-0.442774571216332,TRUE,FALSE,FALSE,TRUE,FALSE
0,3,"female",16,0.291541200583944,FALSE,TRUE,FALSE,FALSE,TRUE
0,2,"male",21,0.828156572284146,TRUE,FALSE,FALSE,TRUE,FALSE
0,3,"male",26,-0.363004477126974,TRUE,FALSE,FALSE,FALSE,TRUE
1,3,"male",32,0.48512216989826,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"male",25,-0.500269075327068,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"male",24,-0.495310426516395,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"male",24,-0.492199671241351,TRUE,FALSE,FALSE,FALSE,TRUE
1,2,"male",0.83,-0.0695646322519061,TRUE,FALSE,FALSE,TRUE,FALSE
1,3,"female",30,-0.402931888543103,FALSE,TRUE,FALSE,FALSE,TRUE
0,3,"male",22,-0.473034836537772,TRUE,FALSE,FALSE,FALSE,TRUE
1,3,"male",29,-0.462948081430626,TRUE,FALSE,FALSE,FALSE,TRUE
1,3,"female",28,-0.497495217672603,FALSE,TRUE,FALSE,FALSE,TRUE
0,1,"male",28,0.295575902626803,TRUE,FALSE,TRUE,FALSE,FALSE
1,2,"female",17,-0.442774571216332,FALSE,TRUE,FALSE,TRUE,FALSE
1,3,"female",33,-0.334846291569863,FALSE,TRUE,FALSE,FALSE,TRUE
0,3,"male",16,0.0388679851499204,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"male",22,-0.492199671241351,TRUE,FALSE,FALSE,FALSE,TRUE
1,1,"female",23,4.65103675789273,FALSE,TRUE,TRUE,FALSE,FALSE
0,3,"male",24,-0.492199671241351,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"male",29,-0.492199671241351,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"male",20,-0.496149644541309,TRUE,FALSE,FALSE,FALSE,TRUE
0,1,"male",46,0.579518058892981,TRUE,FALSE,TRUE,FALSE,FALSE
0,3,"male",26,-0.239526455807327,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"male",59,-0.508338479412786,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"male",44,-0.492199671241351,TRUE,FALSE,FALSE,FALSE,TRUE
0,1,"male",71,0.0445004292017512,TRUE,FALSE,TRUE,FALSE,FALSE
1,1,"male",23,0.623562883743848,TRUE,FALSE,TRUE,FALSE,FALSE
1,2,"female",34,-0.190605693537666,FALSE,TRUE,FALSE,TRUE,FALSE
0,2,"male",34,-0.130085162894786,TRUE,FALSE,FALSE,TRUE,FALSE
0,3,"female",28,-0.495310426516395,FALSE,TRUE,FALSE,FALSE,TRUE
0,3,"male",27,-0.495310426516395,TRUE,FALSE,FALSE,FALSE,TRUE
0,1,"male",21,0.904563742220782,TRUE,FALSE,TRUE,FALSE,FALSE
0,3,"male",33,-0.480010836369875,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"male",37,-0.494721360018137,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"male",28,-0.495310426516395,TRUE,FALSE,FALSE,FALSE,TRUE
1,3,"female",21,-0.500269075327068,FALSE,TRUE,FALSE,FALSE,TRUE
1,3,"male",42,-0.497747386550282,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"male",38,-0.495310426516395,TRUE,FALSE,FALSE,FALSE,TRUE
1,3,"female",28,-0.167406156791229,FALSE,TRUE,FALSE,FALSE,TRUE
0,1,"male",47,0.39442610267684,TRUE,FALSE,TRUE,FALSE,FALSE
0,3,"female",14.5,-0.363004477126974,FALSE,TRUE,FALSE,FALSE,TRUE
0,3,"male",22,-0.492199671241351,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"female",20,-0.45639169061098,FALSE,TRUE,FALSE,FALSE,TRUE
0,3,"female",17,-0.362921765735095,FALSE,TRUE,FALSE,FALSE,TRUE
0,3,"male",21,-0.494721360018137,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"male",70.5,-0.498251724305639,TRUE,FALSE,FALSE,FALSE,TRUE
0,2,"male",29,-0.230952713966253,TRUE,FALSE,FALSE,TRUE,FALSE
0,1,"male",24,4.33876695858364,TRUE,FALSE,TRUE,FALSE,FALSE
0,3,"female",2,-0.0236698965143888,FALSE,TRUE,FALSE,FALSE,TRUE
0,2,"male",21,0.828156572284146,TRUE,FALSE,FALSE,TRUE,FALSE
0,3,"male",0.67,-0.492199671241351,TRUE,FALSE,FALSE,FALSE,TRUE
0,2,"male",32.5,-0.0479628375144409,TRUE,FALSE,FALSE,TRUE,FALSE
1,2,"female",32.5,-0.392340795680599,FALSE,TRUE,FALSE,TRUE,FALSE
0,1,"male",54,0.904563742220782,TRUE,FALSE,TRUE,FALSE,FALSE
1,3,"male",12,-0.427811878690391,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"male",36,-0.498251724305639,TRUE,FALSE,FALSE,FALSE,TRUE
1,3,"male",24,-0.510523270568993,TRUE,FALSE,FALSE,FALSE,TRUE
1,3,"female",32,-0.203551035042178,FALSE,TRUE,FALSE,FALSE,TRUE
0,3,"male",45,-0.513886194721716,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"male",33,-0.495310426516395,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"male",20,-0.512373181455644,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"female",47,-0.362080530359159,FALSE,TRUE,FALSE,FALSE,TRUE
1,2,"female",29,-0.130085162894786,FALSE,TRUE,FALSE,TRUE,FALSE
0,2,"male",25,-0.392340795680599,TRUE,FALSE,FALSE,TRUE,FALSE
0,2,"male",23,-0.351069828484198,TRUE,FALSE,FALSE,TRUE,FALSE
1,1,"female",19,-0.124370007451077,FALSE,TRUE,TRUE,FALSE,FALSE
0,1,"male",37,0.416616963912563,TRUE,FALSE,TRUE,FALSE,FALSE
0,3,"male",16,-0.468663236874335,TRUE,FALSE,FALSE,FALSE,TRUE
0,1,"male",24,0.943145580505618,TRUE,FALSE,TRUE,FALSE,FALSE
0,3,"female",19,-0.347035126441339,FALSE,TRUE,FALSE,FALSE,TRUE
1,3,"female",22,-0.498251724305639,FALSE,TRUE,FALSE,FALSE,TRUE
1,3,"female",24,-0.334846291569863,FALSE,TRUE,FALSE,FALSE,TRUE
0,3,"male",19,-0.518425234519932,TRUE,FALSE,FALSE,FALSE,TRUE
0,2,"male",18,-0.422601061002039,TRUE,FALSE,FALSE,TRUE,FALSE
0,2,"male",19,0.086780071908867,TRUE,FALSE,FALSE,TRUE,FALSE
1,3,"male",27,-0.497327777537824,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"female",9,0.0388679851499204,FALSE,TRUE,FALSE,FALSE,TRUE
0,2,"male",36.5,-0.130085162894786,TRUE,FALSE,FALSE,TRUE,FALSE
0,2,"male",42,-0.392340795680599,TRUE,FALSE,FALSE,TRUE,FALSE
0,2,"male",51,-0.401923213032388,TRUE,FALSE,FALSE,TRUE,FALSE
1,1,"female",22,0.688959351805522,FALSE,TRUE,TRUE,FALSE,FALSE
0,3,"male",55.5,-0.492199671241351,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"male",40.5,-0.362080530359159,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"male",36,-0.507077635024392,TRUE,FALSE,FALSE,FALSE,TRUE
0,1,"male",51,0.58363748967874,TRUE,FALSE,TRUE,FALSE,FALSE
1,3,"female",16,-0.498588621926218,FALSE,TRUE,FALSE,FALSE,TRUE
0,3,"male",30,-0.492199671241351,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"male",28,-0.479843396235096,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"male",24,0.748471206937687,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"male",44,-0.32980291401629,TRUE,FALSE,FALSE,FALSE,TRUE
1,2,"female",40,-0.336863642591292,FALSE,TRUE,FALSE,TRUE,FALSE
0,3,"male",26,-0.497747386550282,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"male",17,-0.479843396235096,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"male",1,0.146039758163354,TRUE,FALSE,FALSE,FALSE,TRUE
1,3,"male",9,-0.240535131318042,TRUE,FALSE,FALSE,FALSE,TRUE
1,1,"female",21,0.45494663331972,FALSE,TRUE,TRUE,FALSE,FALSE
0,3,"female",45,-0.0917554934876288,FALSE,TRUE,FALSE,FALSE,TRUE
0,1,"male",30,-0.131598176160858,TRUE,FALSE,TRUE,FALSE,FALSE
0,3,"male",28,0.48512216989826,TRUE,FALSE,FALSE,FALSE,TRUE
0,1,"male",61,0.0212161637124138,TRUE,FALSE,TRUE,FALSE,FALSE
0,3,"male",4,-0.0670429434751194,TRUE,FALSE,FALSE,FALSE,TRUE
1,3,"female",1,-0.42999868719762,FALSE,TRUE,FALSE,FALSE,TRUE
0,3,"male",21,-0.494721360018137,TRUE,FALSE,FALSE,FALSE,TRUE
0,1,"male",56,-0.0353543936305075,TRUE,FALSE,TRUE,FALSE,FALSE
0,3,"male",18,-0.496149644541309,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"male",42,-0.140843695892069,TRUE,FALSE,FALSE,FALSE,TRUE
0,1,"female",50,-0.0753645164385154,FALSE,TRUE,TRUE,FALSE,FALSE
0,2,"male",30,-0.392340795680599,TRUE,FALSE,FALSE,TRUE,FALSE
0,3,"male",36,-0.362080530359159,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"female",28,0.748471206937687,FALSE,TRUE,FALSE,FALSE,TRUE
0,2,"male",6,-0.350985099741298,TRUE,FALSE,FALSE,TRUE,FALSE
0,3,"male",9,-0.0214003766152808,TRUE,FALSE,FALSE,FALSE,TRUE
1,2,"male",1,0.132170469891027,TRUE,FALSE,FALSE,TRUE,FALSE
1,3,"female",4,-0.210274865996602,FALSE,TRUE,FALSE,FALSE,TRUE
0,1,"male",34,0.354079082248253,TRUE,FALSE,TRUE,FALSE,FALSE
1,3,"female",25,-0.341907020144866,FALSE,TRUE,FALSE,FALSE,TRUE
1,1,"male",45,-0.118989732276925,TRUE,FALSE,TRUE,FALSE,FALSE
0,3,"male",40,-0.341907020144866,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"male",36,-0.495310426516395,TRUE,FALSE,FALSE,FALSE,TRUE
1,2,"female",32,-0.392340795680599,FALSE,TRUE,FALSE,TRUE,FALSE
0,2,"male",19,-0.392340795680599,TRUE,FALSE,FALSE,TRUE,FALSE
1,3,"female",19,-0.496149644541309,FALSE,TRUE,FALSE,FALSE,TRUE
1,2,"male",3,-0.130085162894786,TRUE,FALSE,FALSE,TRUE,FALSE
1,1,"female",44,-0.0953705865180301,FALSE,TRUE,TRUE,FALSE,FALSE
1,1,"female",58,2.30124242694001,FALSE,TRUE,TRUE,FALSE,FALSE
0,3,"male",70,-0.498251724305639,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"male",42,-0.485054213923448,TRUE,FALSE,FALSE,FALSE,TRUE
1,3,"female",51,-0.498251724305639,FALSE,TRUE,FALSE,FALSE,TRUE
0,2,"female",24,-0.392340795680599,FALSE,TRUE,FALSE,TRUE,FALSE
0,3,"male",28,-0.462948081430626,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"male",38,0.748471206937687,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"male",34,-0.523553340816405,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"male",45.5,-0.508842817168143,TRUE,FALSE,FALSE,FALSE,TRUE
1,3,"male",18,-0.492199671241351,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"female",2,-0.443531077849368,FALSE,TRUE,FALSE,FALSE,TRUE
0,3,"male",32,-0.334846291569863,TRUE,FALSE,FALSE,FALSE,TRUE
1,3,"male",26,-0.275586605315376,TRUE,FALSE,FALSE,FALSE,TRUE
1,3,"female",16,-0.498251724305639,FALSE,TRUE,FALSE,FALSE,TRUE
1,1,"male",40,-0.0292176118233195,TRUE,FALSE,TRUE,FALSE,FALSE
0,3,"male",24,-0.512373181455644,TRUE,FALSE,FALSE,FALSE,TRUE
1,2,"female",35,-0.230952713966253,FALSE,TRUE,FALSE,TRUE,FALSE
0,3,"male",22,-0.508338479412786,TRUE,FALSE,FALSE,FALSE,TRUE
0,2,"male",30,-0.392340795680599,TRUE,FALSE,FALSE,TRUE,FALSE
0,3,"male",33,-0.498251724305639,TRUE,FALSE,FALSE,FALSE,TRUE
1,1,"female",31,1.63055794105766,FALSE,TRUE,TRUE,FALSE,FALSE
1,3,"female",27,-0.494721360018137,FALSE,TRUE,FALSE,FALSE,TRUE
0,2,"male",42,-0.109911652680493,TRUE,FALSE,FALSE,TRUE,FALSE
1,1,"female",32,0.884474960749389,FALSE,TRUE,TRUE,FALSE,FALSE
0,2,"male",30,-0.442774571216332,TRUE,FALSE,FALSE,TRUE,FALSE
1,3,"male",16,-0.492199671241351,TRUE,FALSE,FALSE,FALSE,TRUE
0,2,"male",27,-0.392340795680599,TRUE,FALSE,FALSE,TRUE,FALSE
0,3,"male",51,-0.492199671241351,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"male",60,-0.495310426516395,TRUE,FALSE,FALSE,FALSE,TRUE
1,1,"male",38,1.16101949081999,TRUE,FALSE,TRUE,FALSE,FALSE
0,3,"male",22,-0.46597410796277,TRUE,FALSE,FALSE,FALSE,TRUE
1,2,"male",19,-0.442774571216332,TRUE,FALSE,FALSE,TRUE,FALSE
0,3,"male",20.5,-0.508338479412786,TRUE,FALSE,FALSE,FALSE,TRUE
0,2,"male",18,-0.392340795680599,TRUE,FALSE,FALSE,TRUE,FALSE
0,3,"female",45,-0.140843695892069,FALSE,TRUE,FALSE,FALSE,TRUE
1,1,"female",35,1.02938733667172,FALSE,TRUE,TRUE,FALSE,FALSE
0,3,"male",29,-0.497747386550282,TRUE,FALSE,FALSE,FALSE,TRUE
0,2,"male",59,-0.382254040573452,TRUE,FALSE,FALSE,TRUE,FALSE
1,3,"female",5,-0.0214003766152808,FALSE,TRUE,FALSE,FALSE,TRUE
0,2,"male",24,-0.442774571216332,TRUE,FALSE,FALSE,TRUE,FALSE
0,3,"female",42,-0.502286426348498,FALSE,TRUE,FALSE,FALSE,TRUE
0,2,"male",44,-0.130085162894786,TRUE,FALSE,FALSE,TRUE,FALSE
1,2,"female",8,-0.125041785341213,FALSE,TRUE,FALSE,TRUE,FALSE
0,2,"male",19,-0.442774571216332,TRUE,FALSE,FALSE,TRUE,FALSE
0,2,"male",33,-0.406966590585962,TRUE,FALSE,FALSE,TRUE,FALSE
0,3,"female",34,-0.363004477126974,FALSE,TRUE,FALSE,FALSE,TRUE
1,3,"female",43,-0.341907020144866,FALSE,TRUE,FALSE,FALSE,TRUE
0,2,"male",29,-0.442774571216332,TRUE,FALSE,FALSE,TRUE,FALSE
0,3,"male",22,-0.510860168189572,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"male",30,-0.508842817168143,TRUE,FALSE,FALSE,FALSE,TRUE
0,1,"male",44,1.16101949081999,TRUE,FALSE,TRUE,FALSE,FALSE
0,3,"female",25,-0.497747386550282,FALSE,TRUE,FALSE,FALSE,TRUE
1,2,"female",24,-0.362080530359159,FALSE,TRUE,FALSE,TRUE,FALSE
1,1,"male",37,0.405606262037601,TRUE,FALSE,TRUE,FALSE,FALSE
0,2,"male",54,-0.130085162894786,TRUE,FALSE,FALSE,TRUE,FALSE
0,3,"male",14.5,-0.508338479412786,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"female",29,-0.443531077849368,FALSE,TRUE,FALSE,FALSE,TRUE
0,1,"male",62,-0.118989732276925,TRUE,FALSE,TRUE,FALSE,FALSE
0,3,"male",30,-0.32980291401629,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"female",41,-0.246839353260009,FALSE,TRUE,FALSE,FALSE,TRUE
1,3,"female",29,-0.347035126441339,FALSE,TRUE,FALSE,FALSE,TRUE
1,1,"female",18,0.943145580505618,FALSE,TRUE,TRUE,FALSE,FALSE
1,1,"female",30,1.09041220506996,FALSE,TRUE,TRUE,FALSE,FALSE
1,2,"female",50,-0.130085162894786,FALSE,TRUE,FALSE,TRUE,FALSE
0,3,"male",19,-0.498251724305639,TRUE,FALSE,FALSE,FALSE,TRUE
1,3,"male",3,-0.0214003766152808,TRUE,FALSE,FALSE,FALSE,TRUE
0,1,"male",52,0.95222366010205,TRUE,FALSE,TRUE,FALSE,FALSE
0,1,"male",40,-0.362080530359159,TRUE,FALSE,TRUE,FALSE,FALSE
0,3,"female",26,-0.498251724305639,FALSE,TRUE,FALSE,FALSE,TRUE
0,2,"male",36,-0.442774571216332,TRUE,FALSE,FALSE,TRUE,FALSE
0,3,"male",16,0.146039758163354,TRUE,FALSE,FALSE,FALSE,TRUE
1,3,"male",25,-0.497747386550282,TRUE,FALSE,FALSE,FALSE,TRUE
1,1,"female",58,2.44128088279457,FALSE,TRUE,TRUE,FALSE,FALSE
1,1,"female",35,2.0816033344819,FALSE,TRUE,TRUE,FALSE,FALSE
0,1,"male",28,-0.0292176118233195,TRUE,FALSE,TRUE,FALSE,FALSE
1,3,"male",25,-0.362080530359159,TRUE,FALSE,FALSE,FALSE,TRUE
1,2,"female",41,-0.261212979287692,FALSE,TRUE,FALSE,TRUE,FALSE
0,1,"male",37,-0.0554431751019008,TRUE,FALSE,TRUE,FALSE,FALSE
1,3,"female",30,-0.498251724305639,FALSE,TRUE,FALSE,FALSE,TRUE
1,1,"female",63,0.91809613287253,FALSE,TRUE,TRUE,FALSE,FALSE
0,3,"female",45,-0.498251724305639,FALSE,TRUE,FALSE,FALSE,TRUE
0,2,"male",50,-0.362080530359159,TRUE,FALSE,FALSE,TRUE,FALSE
0,3,"male",7,-0.0670429434751194,TRUE,FALSE,FALSE,FALSE,TRUE
1,3,"female",35,-0.246082846626973,FALSE,TRUE,FALSE,FALSE,TRUE
0,3,"male",65,-0.498251724305639,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"male",28,-0.496149644541309,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"male",16,-0.462948081430626,TRUE,FALSE,FALSE,FALSE,TRUE
1,3,"male",19,-0.492199671241351,TRUE,FALSE,FALSE,FALSE,TRUE
0,1,"male",24,-0.130085162894786,TRUE,FALSE,TRUE,FALSE,FALSE
0,3,"male",33,-0.479843396235096,TRUE,FALSE,FALSE,FALSE,TRUE
1,3,"male",30,-0.462948081430626,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,"male",22,-0.495310426516395,TRUE,FALSE,FALSE,FALSE,TRUE
1,2,"male",42,-0.392340795680599,TRUE,FALSE,FALSE,TRUE,FALSE
1,3,"female",22,-0.498251724305639,FALSE,TRUE,FALSE,FALSE,TRUE
1,1,"female",26,0.936084851930615,FALSE,TRUE,TRUE,FALSE,FALSE
1,1,"female",19,1.18279074304325,FALSE,TRUE,TRUE,FALSE,FALSE
0,2,"male",36,-0.394862484457386,TRUE,FALSE,FALSE,TRUE,FALSE
0,3,"female",24,-0.476060863069916,FALSE,TRUE,FALSE,FALSE,TRUE
0,3,"male",24,-0.495310426516395,TRUE,FALSE,FALSE,FALSE,TRUE
